,법정동,인구수,택배함 개수,물류창고 개수,전기차 등록 수,충전기 개수,전기차한대당충전소개수
176,서울특별시 용산구 한강로1가,3210,0,0,0,6,0.0
177,서울특별시 용산구 한강로2가,7288,0,0,146,0,0.0
178,서울특별시 용산구 용산동3가,270,0,0,0,0,0.0
179,서울특별시 용산구 용산동5가,2370,0,0,0,4,0.0
180,서울특별시 용산구 한강로3가,8011,0,0,0,2,0.0
181,서울특별시 용산구 이촌동,32942,0,1,130,13,0.1
182,서울특별시 용산구 이태원동,14796,1,0,83,0,0.0
183,서울특별시 용산구 한남동,19207,1,0,130,2,0.015384615384615385
184,서울특별시 용산구 동빙고동,6138,0,0,0,0,0.0
185,서울특별시 용산구 서빙고동,5570,0,1,40,0,0.0
186,서울특별시 용산구 주성동,828,0,0,0,0,0.0
187,서울특별시 용산구 보광동,12582,1,0,16,0,0.0
188,서울특별시 성동구 상왕십리동,3632,0,0,0,7,0.0
189,서울특별시 성동구 하왕십리동,30359,1,0,104,7,0.0673076923076923
190,서울특별시 성동구 홍익동,3942,0,0,0,0,0.0
191,서울특별시 성동구 도선동,4703,0,0,0,0,0.0
192,서울특별시 성동구 마장동,21971,0,0,150,8,0.05333333333333334
193,서울특별시 성동구 사근동,6791,1,0,27,2,0.07407407407407407
194,서울특별시 성동구 행당동,41999,2,0,125,7,0.056
195,서울특별시 성동구 응봉동,14951,0,0,23,0,0.0
196,서울특별시 성동구 금호동1가,14989,0,0,40,4,0.1
197,서울특별시 성동구 금호동2가,9810,1,0,50,3,0.06
198,서울특별시 성동구 금호동3가,12298,0,0,0,0,0.0
199,서울특별시 성동구 금호동4가,14244,0,0,49,2,0.04081632653061224
200,서울특별시 성동구 옥수동,25503,0,0,109,0,0.0
201,서울특별시 성동구 성수동1가,27759,2,1,610,15,0.02459016393442623
202,서울특별시 성동구 성수동2가,25213,2,6,186,9,0.04838709677419355
203,서울특별시 성동구 송정동,10073,0,0,20,0,0.0
204,서울특별시 성동구 용답동,11743,1,0,63,2,0.031746031746031744
205,서울특별시 광진구 중곡동,80046,4,0,133,0,0.0
206,서울특별시 광진구 능동,11163,0,0,22,0,0.0
207,서울특별시 광진구 구의동,77349,3,0,152,14,0.09210526315789473
208,서울특별시 광진구 광장동,34062,0,0,71,5,0.07042253521126761
209,서울특별시 광진구 자양동,91273,5,0,252,3,0.011904761904761904
210,서울특별시 광진구 화양동,23379,1,0,28,0,0.0
211,서울특별시 광진구 군자동,19286,1,0,36,0,0.0
212,서울특별시 동대문구 신설동,3711,0,0,0,0,0.0
213,서울특별시 동대문구 용두동,31682,1,0,92,0,0.0
214,서울특별시 동대문구 제기동,24104,1,0,38,0,0.0
215,서울특별시 동대문구 전농동,46855,1,0,108,10,0.09259259259259259
216,서울특별시 동대문구 답십리동,55766,2,0,158,6,0.0379746835443038
217,서울특별시 동대문구 장안동,70342,2,0,171,3,0.017543859649122806
218,서울특별시 동대문구 청량리동,18739,1,0,34,0,0.0
219,서울특별시 동대문구 회기동,10496,1,0,10,2,0.2
220,서울특별시 동대문구 휘경동,38456,1,0,72,11,0.1527777777777778
221,서울특별시 동대문구 이문동,37541,2,0,51,3,0.058823529411764705
222,서울특별시 중랑구 면목동,135903,3,0,262,8,0.030534351145038167
223,서울특별시 중랑구 상봉동,43594,2,0,100,8,0.08
224,서울특별시 중랑구 중화동,43352,1,0,81,9,0.1111111111111111
225,서울특별시 중랑구 묵동,52337,0,0,94,7,0.07446808510638298
226,서울특별시 중랑구 망우동,51458,0,0,187,5,0.026737967914438502
227,서울특별시 중랑구 신내동,58223,0,0,205,6,0.02926829268292683
228,서울특별시 성북구 성북동,10323,0,0,53,0,0.0
229,서울특별시 성북구 성북동1가,1859,0,0,0,0,0.0
230,서울특별시 성북구 돈암동,38464,1,0,93,10,0.10752688172043011
231,서울특별시 성북구 동소문동1가,947,0,0,0,0,0.0
232,서울특별시 성북구 동소문동2가,519,0,0,0,0,0.0
233,서울특별시 성북구 동소문동3가,145,0,0,0,0,0.0
234,서울특별시 성북구 동소문동4가,3027,0,0,0,0,0.0
235,서울특별시 성북구 동소문동5가,1158,0,0,0,0,0.0
236,서울특별시 성북구 동소문동6가,1809,0,0,0,0,0.0
237,서울특별시 성북구 동소문동7가,2333,0,0,0,1,0.0
238,서울특별시 성북구 삼선동1가,4268,0,0,0,0,0.0
239,서울특별시 성북구 삼선동2가,5670,0,0,0,7,0.0
240,서울특별시 성북구 삼선동3가,3812,0,0,71,3,0.04225352112676056
241,서울특별시 성북구 삼선동4가,3144,0,0,0,0,0.0
242,서울특별시 성북구 삼선동5가,3773,0,0,0,0,0.0
243,서울특별시 성북구 동선동1가,1173,0,0,16,0,0.0
244,서울특별시 성북구 동선동2가,2177,0,0,0,0,0.0
245,서울특별시 성북구 동선동3가,2879,0,0,0,0,0.0
246,서울특별시 성북구 동선동4가,2114,0,0,0,0,0.0
247,서울특별시 성북구 동선동5가,2031,0,0,0,0,0.0
248,서울특별시 성북구 안암동1가,3933,0,0,0,0,0.0
249,서울특별시 성북구 안암동2가,2373,0,0,0,0,0.0
250,서울특별시 성북구 안암동3가,3726,0,0,0,0,0.0
251,서울특별시 성북구 안암동4가,971,0,0,0,0,0.0
252,서울특별시 성북구 안암동5가,4107,1,0,20,4,0.2
253,서울특별시 성북구 보문동4가,958,0,0,0,0,0.0
254,서울특별시 성북구 보문동5가,1812,0,0,0,0,0.0
255,서울특별시 성북구 보문동6가,6196,1,0,47,1,0.02127659574468085
256,서울특별시 성북구 보문동7가,997,0,0,0,0,0.0
257,서울특별시 성북구 보문동1가,1712,0,0,0,0,0.0
258,서울특별시 성북구 보문동2가,2018,0,0,0,0,0.0
259,서울특별시 성북구 보문동3가,2589,0,0,0,0,0.0
260,서울특별시 성북구 정릉동,78690,1,0,261,12,0.04597701149425287
261,서울특별시 성북구 길음동,53989,1,0,145,5,0.034482758620689655
262,서울특별시 성북구 종암동,38054,0,0,75,1,0.013333333333333334
263,서울특별시 성북구 하월곡동,39615,0,0,78,6,0.07692307692307693
264,서울특별시 성북구 상월곡동,9205,0,0,0,4,0.0
265,서울특별시 성북구 장위동,52895,2,0,123,3,0.024390243902439025
